name,city,income,credit_score,loan_amount,employment_years,points,loan_approved,loan_to_income
Jennifer Oliver,East Michelle,30851,481,28020,1,10,False,0.9082363618683349
Tim Patton,Phambury,129458,573,11433,6,55,False,0.08831435677980504
Andrew Ruiz,Port Samantha,135620,658,21000,14,70,True,0.15484441822740008
Matthew Ross,Michelleview,50926,659,43040,32,50,False,0.8451478616031104
William Herrera,North Natalieview,121506,482,39049,16,50,False,0.3213750761279278
Kyle Reed,Samuelhaven,85392,418,26244,36,45,False,0.3073355817875211
Andrew Graham,West Ryan,74597,638,41839,20,50,False,0.5608670589970106
Belinda Mccullough,Elizabethmouth,66421,712,46692,18,60,True,0.7029704460938558
Cheryl Ortega,Byrdburgh,50379,608,27612,35,50,False,0.5480855118204013
Elizabeth Clark,Stevenmouth,58221,518,34500,30,35,False,0.5925696913484825
Toni Fitzgerald,West Zacharymouth,130072,395,16392,19,55,False,0.1260225106095086
Curtis Johnson,South Cheryl,74118,374,30846,26,35,False,0.4161742086942443
Laura Higgins,Snyderbury,43396,451,43995,0,10,False,1.0138031154945155
Shannon Mcclure,Robinsonhaven,42156,775,4291,35,70,True,0.10178859474333428
Ryan Bryant,Contrerasside,79797,624,30004,39,60,True,0.3760041104302167
Stephanie Simmons,Merrittfort,42676,760,17986,15,60,True,0.4214546817883588
Destiny Strickland,Simsview,77052,750,6077,18,90,True,0.0788688158646109
George Orozco,East Edwardfurt,141082,456,47295,13,50,False,0.33523057512652216
Jason Daniels,Brownchester,75082,698,39278,1,50,False,0.5231347060547135
Pamela James,West Kennethfurt,109131,729,36272,34,75,True,0.33237118692213946
Stephanie Freeman,Ryantown,64671,698,23028,25,65,True,0.3560792318040544
Sara Calhoun,South Brittanytown,135791,385,43123,27,50,False,0.31756891104712387
Joel Williams,Murphymouth,35695,634,23118,24,40,False,0.6476537330158285
Trevor Fisher,South Andrewside,125647,353,23935,14,55,False,0.1904940030402636
Rachael Pearson,East Jamestown,90217,456,16633,8,45,False,0.18436658279481694
Brian Gould,Lyonsstad,100284,471,40707,38,45,False,0.4059171951657293
Michelle Strickland,West Daniel,46361,326,21444,36,25,False,0.4625439485774681
Tina Sanders,North Brittany,79615,548,7678,19,55,False,0.09643911323243108
Lindsay Martinez,West Amandastad,40328,370,34158,21,25,False,0.8470045625867884
Jason Henry,Yumouth,102357,456,29540,11,50,False,0.28859775100872437
Tracie Nelson,Marshallshire,68427,574,22122,15,40,False,0.32329343680126266
Angelica Keith,Port Steven,138711,688,23046,1,65,True,0.1661439972316543
Frederick Freeman MD,Matthewview,112397,310,34857,12,50,False,0.3101239356922338
Nathan Freeman,Lake Thomas,111070,802,30371,1,75,True,0.27344017286395966
Daniel Holt,Elizabethstad,146057,784,37272,33,85,True,0.2551880430242987
Zachary Pierce,Jacquelineview,142945,613,17475,14,70,True,0.12224981636293679
Corey Wilson,East Javier,77400,795,19120,37,85,True,0.2470284237726098
Kelly Campbell,Port Jamesbury,105674,669,12759,19,70,True,0.12073925468894903
Joseph Hill,New Kellyberg,55203,802,7723,0,70,True,0.1399018169302393
Julie Alexander,North Johnny,122349,789,8476,4,85,True,0.06927723152620782
Benjamin Soto,East Edwardshire,39116,611,6582,15,50,False,0.16826873913488086
Phillip Obrien,Port Alexandra,36006,761,30014,19,60,True,0.83358329167361
Wanda Torres,New Susanville,116673,512,41993,13,50,False,0.3599204614606636
Brad Allen,East Aaronmouth,59871,781,20087,2,65,True,0.33550466837032955
Michael Warner,Jonesbury,131327,570,41963,37,50,False,0.31953063726423353
Taylor Coleman,Lake Edward,67930,572,10321,4,35,False,0.1519358162814662
Ricky Larson,Scottmouth,40458,611,46857,25,40,False,1.1581640219486875
Kathryn Snyder,New Billchester,142108,630,40564,16,65,True,0.2854448729135587
Darryl Craig,Port Emilyview,60512,341,12481,30,45,False,0.20625661025912215
Jessica Ramirez,Waltersfort,143571,393,31802,22,55,False,0.22150712887700164
Frank Garcia,West Robert,43238,807,19888,25,65,True,0.4599657708497155
Krista Gibson,Johnnyville,79823,713,34724,0,50,False,0.4350124650789873
Kimberly Gutierrez,New Michael,66434,810,41986,28,75,True,0.6319956648703977
Christina Dunn,Samuelfort,89429,424,2891,40,55,False,0.032327321115074525
Cynthia Moore,New Rickybury,113320,416,31241,7,45,False,0.2756883162725026
Brittany Cantu,Williamview,139328,725,32621,30,80,True,0.23413097152044096
Juan Reyes,Port Chad,77819,724,23274,32,70,True,0.2990786311826161
Aaron Barber,Grimesmouth,51319,795,23618,21,70,True,0.4602194119137162
Kimberly Gibson,Mollybury,78520,692,16306,26,75,True,0.20766683647478348
Patrick Thornton,Hughesberg,76566,807,3426,8,90,True,0.04474570958388841
Leslie Kane,Garciamouth,57460,315,48346,9,30,False,0.8413853115210581
Matthew Moore,Harringtonview,117841,646,41845,25,65,True,0.3550971223937339
Sarah Phelps,Finleyfort,64993,336,41465,4,25,False,0.6379917837305557
Michael Mitchell,Lake Christopher,121988,400,42533,6,45,False,0.3486654425025412
Michael Berger,West Lauraport,119593,667,25565,27,70,True,0.21376669203047002
Joseph Knight,East Gregory,114939,691,41613,15,75,True,0.36204421475739307
Mr. David Little MD,Port Stevenport,39358,461,5840,28,35,False,0.14838152345139488
Victoria Evans,Vaughnmouth,109840,609,14055,24,70,True,0.12795884923525128
Ashley James,Baileyport,113227,322,44137,25,50,False,0.38980985100726856
Keith Jennings,New Julieport,52431,535,40784,22,35,False,0.7778604260838053
Connor King,Lake Colton,100010,340,21246,28,55,False,0.21243875612438756
Jacob Anderson,Markchester,125568,479,14159,8,50,False,0.11275962028542304
Sherri Diaz,Mariaview,62087,793,20342,21,75,True,0.3276370254642679
Julie Jones,Port Erica,51417,706,37524,23,60,True,0.7297975377793336
James Baker,South Miguelview,90589,690,42847,23,65,True,0.47298237092803763
David Johnson,Rosebury,79735,364,42641,29,40,False,0.5347839719069417
Elizabeth Ortiz,North Sophia,65382,611,33284,7,45,False,0.5090697745556881
Stephen Taylor,Watsonside,113886,729,39491,9,70,True,0.34675903974149586
Mary Bass,Crosbyview,120198,333,46238,23,50,False,0.3846819414632523
Jeremy Young,Corystad,103000,667,4968,25,75,True,0.04823300970873787
Walter Rush,Davisborough,58785,321,4314,21,50,False,0.07338606787445777
Cameron Cunningham,Port Kathyborough,119733,521,16269,21,55,False,0.13587732705269223
Rachel Carlson,Micheleberg,72504,433,36403,16,35,False,0.5020826437162088
Ashley Delacruz,North Michael,140474,543,39591,20,50,False,0.28183863206002535
Derek Martinez,Foxland,130704,787,30378,23,90,True,0.2324182886522218
Ashley Gordon,Lake Kristahaven,131711,608,31018,1,55,False,0.2355004517466271
John Morales,South Jennifermouth,37331,375,6294,20,35,False,0.1685998232032359
Ana Hill,Oscarhaven,60021,601,30734,32,50,False,0.5120541143932957
Annette Miles,South Shannon,137715,533,28119,21,55,False,0.20418255092037904
Jennifer Blair,Ronaldview,34207,683,11003,30,55,False,0.32165930949805593
Ronald Davis,Lake Joanneberg,135518,361,39434,35,50,False,0.29098717513540634
Meagan Jenkins,Parrishton,71347,594,40348,19,50,False,0.5655178213519839
Kenneth Lewis,Walkerville,82581,658,37455,23,55,False,0.4535546917571839
Donald Perez,Bruceside,65093,326,40911,17,35,False,0.6285007604504325
Donald Farmer,Michaelburgh,38675,446,38114,25,25,False,0.9854945054945055
Patrick Bonilla,Lake Alyssafurt,57653,729,30730,21,60,True,0.533016495238756
Eric Nguyen,North Ericton,149686,383,18832,28,55,False,0.1258100289940275
Karla Ramos,Jasonhaven,104341,416,23621,27,55,False,0.226382725869984
Michael Watkins,Brandonfurt,144867,356,1503,13,60,True,0.010375033651556256
Daniel Taylor,Keithville,124098,307,33596,27,50,False,0.27072152653548004
James Padilla,Charleston,71245,746,2228,29,85,True,0.031272369990876556
Shannon Johnston,Mckinneychester,57869,596,8548,25,60,True,0.1477129378423681
Frederick Solis,Collierstad,115909,390,29620,6,45,False,0.25554529846690077
Kevin Warren,Harrellmouth,95435,526,22827,10,50,False,0.23918897679048567
Mark Schmidt,Port Michael,81856,451,16484,6,45,False,0.2013780297107115
Craig Morrison,East Stephaniefort,145957,775,37944,37,85,True,0.2599669765752927
Thomas Cunningham,Michellemouth,149871,454,29820,4,45,False,0.19897111515903676
Mark Hogan,West Williamport,114259,772,30616,2,75,True,0.2679526339281807
Ronald Jones,New Brookefurt,90142,773,39032,35,75,True,0.43300570211444167
Nancy Williams,West Cassidy,48726,813,10886,3,65,True,0.22341255182038336
Robert Monroe,New Debbieton,64718,553,47374,28,35,False,0.7320065515003554
Kelly Bishop MD,Paulmouth,48301,353,42345,21,25,False,0.8766899236040662
Brandon Gregory,Johnathanberg,62325,641,6341,37,60,True,0.10174087444845567
Sydney Collins,Andersonland,127647,617,37629,24,65,True,0.2947895367693718
Erin Anderson,Lake Ellenhaven,103579,670,2194,23,85,True,0.02118189980594522
Trevor Peterson,Leeberg,100644,458,6057,18,60,True,0.06018242518182902
Ashley Wise,Lake Matthewberg,64438,685,11109,10,70,True,0.17239827431018964
Michael Weber,Lake Samuel,127912,720,24874,15,80,True,0.19446181749953093
Lisa Goodwin,Youngbury,106622,616,31737,12,65,True,0.2976590197145054
Travis Joyce,Hammondfurt,86155,814,35567,26,80,True,0.4128257210840926
Ruth Solis,Port John,147679,792,25327,35,90,True,0.17150034872933864
Michelle Black,West Christopherburgh,106484,579,30446,32,50,False,0.2859208895233087
Jeffrey Potts,Port Shannon,82350,657,2747,26,70,True,0.033357619914996965
Jonathan Young,West Jeffreymouth,77447,401,47838,21,40,False,0.6176869342905471
Brenda Mitchell,Hortonberg,58746,780,30399,39,70,True,0.5174650188949035
Bobby Scott,New Shelby,48131,840,28738,7,60,True,0.597078805759282
Cynthia Martinez,South Danielle,96784,768,5116,7,85,True,0.05285997685567862
Kathryn Herrera,Lake Douglas,94686,739,1102,39,80,True,0.011638468200156305
Kenneth Lopez,New Theresaland,41915,838,36656,32,65,True,0.8745317905284504
Katie Smith,Williamsfurt,129061,682,17623,1,65,True,0.13654783396998318
Austin Allen,Port Bonniemouth,36175,436,3905,22,35,False,0.1079474775397374
Robin Thompson,Pollardfort,142866,486,9837,4,50,False,0.06885473100667759
Terri Johnson,North Kylie,44371,342,21682,19,25,False,0.4886524982533637
Virginia Daniels,Benjaminborough,50033,592,24394,3,40,False,0.48755821158035695
Evelyn Martinez,Samuelfurt,112240,750,26339,21,90,True,0.23466678545972916
Kathleen Jimenez,Lauriechester,50969,380,29220,38,35,False,0.5732896466479624
Catherine Carter MD,Donnaport,133819,756,40493,27,85,True,0.3025952966320179
Jeremy West,Christinachester,119192,581,42908,3,55,False,0.3599906033962011
Mark Cox,North Douglas,85333,748,3280,8,85,True,0.03843765014707089
Richard Diaz,Herrington,108172,457,45503,28,45,False,0.42065414340124985
Jacqueline Hines,New Michael,38326,621,43569,17,40,False,1.1368000834942338
Brian Fitzgerald,Holmesside,80432,420,18155,16,50,False,0.22571861945494331
Cindy Carr,Gonzalezberg,80019,375,30625,11,45,False,0.3827216036191404
Jill Miller,Elizabethland,108104,597,20657,10,70,True,0.19108451121142603
Tammy Little,Williamville,91348,505,10101,15,50,False,0.1105771335989841
Allison Spencer,Tannerside,99352,432,41104,5,35,False,0.41372091150656254
James Love,Foxchester,62953,375,9213,20,45,False,0.14634727495115404
Joanna Frazier,Davidside,102512,486,9456,27,60,True,0.09224285937256126
Sheena Guerra,West Fred,142824,630,47486,14,65,True,0.33247913515935695
Todd Jacobson,West Jamesside,31504,581,9203,40,45,False,0.2921216353478923
Joseph Shaw,New Shelly,119166,457,12219,39,55,False,0.10253763657419063
Lisa Kirby,Port Michelleland,124466,346,43038,36,50,False,0.3457811771889512
Daniel Armstrong,South Pamelaside,45014,596,43068,19,40,False,0.9567690051983827
Dr. Michael Evans,Lake Brianmouth,119353,725,32735,29,75,True,0.27427044146355767
Lawrence Edwards,Jessicastad,145970,708,9569,23,85,True,0.06555456600671371
Ashley Allen,West Shannonberg,100381,399,4316,18,60,True,0.04299618453691435
Sharon Barnes,Port Mark,128419,620,13440,10,70,True,0.1046574105077909
Mr. Jonathan Parker Jr.,Wagnerbury,64973,520,39230,22,35,False,0.6037892663106214
Douglas Harper,Mitchelltown,130741,410,29241,8,50,False,0.22365593042733342
Monica Gallagher,Brandonton,114012,499,24758,35,55,False,0.21715258043013017
James Cole,Marciaville,74587,431,7336,25,50,False,0.09835494120959416
William Grant,Kariborough,44621,821,27305,32,65,True,0.6119316017121983
Andrew Reeves,Stoneberg,68469,827,10160,20,85,True,0.14838832172223926
Emily Long,Brittneyhaven,86985,821,35887,31,80,True,0.41256538483646604
Elizabeth Cabrera,Markville,50730,726,39253,19,60,True,0.7737630593337276
Molly Watts,New Thomasshire,89470,533,48277,3,30,False,0.5395886889460154
Carolyn Fuller,Hernandezbury,30425,332,38523,7,20,False,1.266162695152013
Jeremy Barnes,Vaughnchester,124646,813,41073,30,90,True,0.3295171926896972
Nancy Brown,New Jared,144799,632,44399,30,65,True,0.3066250457530784
Emily Thompson,Amyview,124329,795,13600,15,90,True,0.10938719043827265
Edwin David,Kellieborough,64522,800,21777,30,80,True,0.3375127863364434
Timothy Pope,Keithshire,95612,688,26856,22,70,True,0.2808852445299753
Regina Roberts,Stephanieland,129871,654,29991,16,70,True,0.2309291527746764
Cindy Clayton,Sarahview,53416,440,8158,39,45,False,0.15272577504867454
Cynthia Williams,Lake Jesse,96542,402,28086,21,45,False,0.2909200140871331
Ashlee Townsend,New Tiffanyburgh,149619,716,43787,30,75,True,0.2926566813038451
Curtis Maynard,Justinton,43947,391,43749,36,25,False,0.9954945730083965
Parker Jefferson,East Robertburgh,144100,337,27017,31,55,False,0.1874878556557946
Paul Brennan,Nancytown,111959,605,38221,38,65,True,0.34138389946319636
William Mitchell,Smallberg,69117,816,31672,17,75,True,0.458237481372166
Brian Martin,Wongburgh,140319,314,49274,21,50,False,0.3511570065351093
Laura Todd,New Melissa,113748,715,29029,32,75,True,0.25520448711186133
James Davis,South Marcus,96540,554,1447,16,55,False,0.014988605759270768
Jeremy Adams,Kevinshire,109818,311,18141,23,55,False,0.16519149866142163
Amy Wilson,Erikhaven,56071,618,46238,7,45,False,0.8246330545201619
Teresa Richardson,East Susan,50032,789,11039,29,80,True,0.22063879117364887
Lisa Perry,Toddborough,79009,553,45586,38,40,False,0.5769722436684428
Angela Griffin,Christianshire,129943,414,5047,35,60,True,0.038840106816065506
Christina Herrera,West Melissa,51174,752,8617,13,80,True,0.16838628991284638
Katherine Nolan,Stokesmouth,100697,435,34636,26,50,False,0.34396258081174214
Anthony Ford,Jenniferfurt,132056,560,1197,13,60,True,0.009064336342157872
Amber Cooper,New Virginialand,99514,783,3079,18,90,True,0.030940370199167955
Randy Cannon,Brooksfurt,30074,759,25739,24,60,True,0.8558555562944736
Victor Baxter,Lake Michelle,108504,421,12696,34,55,False,0.11700951117009512
Cameron Irwin,Port Andrewport,72487,774,45138,34,70,True,0.6227047608536703
James Hall,Reedview,94042,493,48515,7,35,False,0.515886518789477
Matthew Mendez,East Jamieville,32552,334,30257,38,25,False,0.9294974195133939
Shelby Sanchez,South Scottside,44662,522,4699,8,30,False,0.10521248488648068
Donna Cabrera,Barbaramouth,77576,542,20776,9,40,False,0.2678147880787873
Ms. Jennifer Hill,Lake Erika,145175,807,4072,22,100,True,0.02804890649216463
Megan Floyd,Heatherchester,139008,452,20653,24,55,False,0.14857418278084714
Joshua Allen,West Meredith,135745,447,31344,3,45,False,0.23090353235846625
Tracy Grant,South John,70306,508,22644,5,35,False,0.32207777430091317
Sarah Davis,North Joseph,61385,340,5769,12,50,False,0.0939806141565529
Laurie Powers,South Jason,37592,640,20869,0,25,False,0.5551447116407746
Colton Figueroa,Rochaborough,61571,706,16684,35,65,True,0.27097172370109307
Douglas Owens,Kylestad,145082,825,33589,29,95,True,0.23151734880963867
William Harrison,Robinstad,104364,620,28127,2,55,False,0.26950864282702847
Connie Thomas,Angelashire,40322,727,20345,9,45,False,0.5045632657110263
David Hudson,South Andrea,41226,645,17864,31,40,False,0.4333187794110513
Maria Henry,Lake Laura,125932,473,10172,34,60,True,0.08077375091319125
Thomas Weaver DDS,New Arthurland,93699,349,1418,26,55,False,0.015133565993233653
Mark Jones,North Jeffery,136957,766,25458,3,80,True,0.18588316040801128
Mary Jensen,Hopkinstown,39071,306,35879,35,25,False,0.9183025773591666
Alan Bowen,Andrechester,129693,483,8013,6,55,False,0.06178436769910481
Daisy Harvey,Lisaview,99822,706,6178,23,80,True,0.061890164492797176
Judy Sanchez,West Gabriella,130379,382,43843,2,40,False,0.3362734796247862
James Tran,Lake Albertburgh,46483,384,33758,27,25,False,0.7262440031839598
Erin Madden,New Samanthabury,46828,516,46369,36,25,False,0.9901981720338259
Anthony Jones,Rachelshire,116474,333,12754,20,55,False,0.10950083280388756
Daniel Thomas,Hickmanport,92296,466,37959,15,40,False,0.41127459478200573
Sarah Rhodes,Patrickberg,102063,380,33819,22,50,False,0.33135416360483233
Jeffrey Roberson,Cassiefurt,51643,634,2941,40,65,True,0.0569486668086672
Willie Henry,Angelafurt,64741,742,13172,37,80,True,0.20345685114533293
Angelica Montgomery,Lake Charles,99163,574,11107,24,50,False,0.1120075027984228
Madison Singh,Michaelland,144351,305,21202,28,55,False,0.14687809575271388
Derrick Anderson,South Shane,109507,824,27741,6,85,True,0.25332627137991176
Hector Davis,Michelletown,85461,598,28119,24,60,True,0.3290272755993962
Misty Hansen,New Adriana,57760,689,12108,8,65,True,0.20962603878116343
Derrick Thomas,South Joshua,100686,606,32734,4,55,False,0.32510974713465624
Tony Le,Wheelerborough,128994,768,8010,8,90,True,0.06209591143774129
Travis Cook,Brockmouth,125673,750,22937,27,90,True,0.18251334813364845
Shannon Mccann,West Malik,120422,505,32392,20,50,False,0.26898739432993973
James Flores,Faulknerbury,56365,633,25645,17,50,False,0.4549809278807771
Jenna Wilson,New Wendy,123447,484,45676,35,50,False,0.37000494139185236
Nicholas Hahn,South Lauren,70857,370,27813,31,40,False,0.39252296879630805
Eric King,Lake Rodney,82296,686,5847,28,80,True,0.07104841061533974
Karen Morales DDS,Stephensstad,118039,849,39916,40,90,True,0.33815942188598686
Ashley Wright,Gabrielton,115180,709,22731,27,80,True,0.1973519708282688
Brett Walker,South Neil,78944,774,45535,37,75,True,0.5768012768544791
Brittany Cuevas,Garciachester,87422,387,8606,9,50,False,0.09844203976115852
Grant Mueller,Baileyville,147914,748,48316,28,85,True,0.32664926916992304
Eric Patrick,North Melindaville,97839,468,49528,15,40,False,0.5062194012612558
Kristen Rivera,Mullenbury,89177,714,42271,11,65,True,0.4740123574464268
Matthew Foster,South Brittany,45860,698,1291,13,65,True,0.028150894025294373
Paul Stokes,New Cristianside,62493,491,24972,20,40,False,0.39959675483654167
Brian Lambert,Rosemouth,59451,697,41062,25,60,True,0.6906864476627811
Hannah Bruce,Port Emily,38392,604,41270,37,40,False,1.0749635340695978
Cesar Wilson,Darylstad,74313,444,34477,24,35,False,0.4639430516867843
Chad Reyes,South Cynthia,32757,477,37366,10,25,False,1.1407027505571328
Charles Edwards MD,Port Michaeltown,107110,796,9947,12,95,True,0.09286714592475026
Tracey Wagner,Ortizfort,102603,725,47539,28,70,True,0.46332953227488477
Bradley Johnson DDS,Antoniobury,60161,850,19918,10,80,True,0.3310782732999784
Krystal Barton,Dunnville,107128,416,18556,34,55,False,0.17321335225151221
Holly Carson,Port Jenniferside,58864,523,28862,6,30,False,0.49031666213645014
Martha Wright,South Joseland,30942,749,8693,15,65,True,0.280944993859479
Oscar Norris,Martinberg,39305,511,14562,3,20,False,0.37048721536700163
Kim Carlson,West Tiffany,122778,599,19961,36,70,True,0.1625779862841877
Scott Duke,East Sydneychester,112719,360,19174,8,50,False,0.17010441895332643
Brandi Thomas,Mariafurt,37716,801,10317,36,70,True,0.27354438434616607
Lori Brooks,Lake Lauraland,60007,712,34791,17,60,True,0.5797823587248154
Sherry Gibson,Murphytown,38834,395,48902,29,25,False,1.2592573518051193
Melissa Horn,Robinsonchester,148675,516,33421,17,55,False,0.22479233226837061
Drew Kelley,New Melissa,34117,651,45731,3,30,False,1.340416801008295
Mark Copeland,North Sarahburgh,142674,751,30918,0,75,True,0.21670381428991967
Jessica Forbes DVM,Erikview,73309,395,43899,23,35,False,0.5988214271099046
Jacob Mckee,North Randy,39287,612,48578,14,40,False,1.2364904421309848
Brandon Davis,South Christian,97391,531,35042,28,45,False,0.359807374398045
Michael Montoya,Bensonfort,61195,372,16004,24,40,False,0.26152463436555273
Robert Garcia,Nicoleberg,66500,691,9725,9,65,True,0.1462406015037594
Justin Bishop,South Michael,117684,518,42161,9,45,False,0.3582560076136093
Lisa Ramos,North Peggy,93624,443,9071,37,55,False,0.09688755020080321
Heather Jordan,East Joshua,58080,386,17263,35,40,False,0.2972279614325069
Michelle Mitchell,Port Melanieport,100678,510,34931,38,50,False,0.3469576272869942
Nicole Phillips,Port Rachaelbury,47342,806,26289,7,60,True,0.5552997338515483
Alexandria Ward,Davidshire,124811,730,24947,34,80,True,0.1998782158623839
Pamela Best,North Brendatown,145655,568,15138,2,45,False,0.10393052075108991
Tiffany Sanders,Courtneyhaven,104847,725,28759,25,75,True,0.2742949249859319
Joshua Jensen,Christopherland,105525,823,14316,9,90,True,0.1356645344705046
Jeanette Walters,West Hollybury,91953,359,17022,5,45,False,0.18511630941894228
Audrey Salazar,West Elizabethburgh,61850,422,1830,8,45,False,0.029587712206952305
Carla Benton,Garyberg,132841,575,49033,7,45,False,0.36911044030081075
Alyssa Roman,Alexandriaview,91993,378,33515,29,45,False,0.3643211983520485
Amy Villarreal,West Eric,135840,405,38611,7,45,False,0.28423881036513543
Jordan Williams,East Brandonstad,83354,692,10835,11,75,True,0.1299877630347674
Shannon Tran,Walkerbury,54957,726,48204,20,60,True,0.8771221136524919
Blake Watson,East Jeffreyhaven,42363,347,27275,4,15,False,0.6438401435214692
Sharon Ayala,Markside,42704,767,1522,23,75,True,0.03564068939677782
Justin Torres,South Micheal,116374,805,13807,34,95,True,0.11864333957756887
Danielle Smith,Johnsonside,86498,654,42677,0,40,False,0.4933871303382737
April Sandoval,Daltonhaven,76438,543,28513,31,45,False,0.37302127214212827
Valerie Thomas,Christopherbury,85519,832,28070,23,85,True,0.32823115331096014
Paul Carpenter,Lake Lori,83883,376,39790,36,40,False,0.47435117961923157
Matthew Anderson,Josemouth,91213,702,46922,20,65,True,0.5144222862969094
Dillon Jones,East Kimberly,143224,411,11184,6,55,False,0.07808747137351282
John Russell,Tamiborough,125561,762,21205,29,90,True,0.16888205732671768
Bryan Moore,Margaretton,37100,520,22482,9,20,False,0.6059838274932614
David Kelly,Lake Kentburgh,118259,331,27502,28,55,False,0.23255735292874116
Krista Davis,Port Lauraville,115649,312,5041,14,60,True,0.04358879021867893
Rodney Watson,New Brendaland,114696,322,5225,12,60,True,0.04555520680756086
Jill Anderson,Davidmouth,42899,351,12009,36,30,False,0.27993659525863074
Nathaniel Crawford,Vegaburgh,37944,662,15071,11,45,False,0.39719059666877504
Jeremy Hernandez,Lake Kenneth,82772,721,37089,30,65,True,0.44808630937998356
Douglas Taylor,Lake Nicole,125448,838,17328,40,95,True,0.13812894585804478
Kimberly Smith MD,Timothyfort,74473,652,38070,32,50,False,0.5111919756153237
Devin Johnson,North Paula,134935,587,4839,30,75,True,0.03586171119427873
Pamela Key,North John,142941,546,18467,34,55,False,0.12919316361295918
Sylvia Brown,New Meghan,44322,697,24252,11,50,False,0.5471774739407066
Kevin Drake,Robintown,62591,660,38201,36,50,False,0.6103273633589493
Travis Copeland,Weaverburgh,55112,802,3487,5,85,True,0.06327115691682392
Kyle Smith,Smithborough,54931,433,23331,11,35,False,0.4247328466621762
Sarah Morris,East Brendaberg,100292,413,35491,23,50,False,0.35387668009412515
Jacqueline Mcmahon,Willismouth,88800,609,22142,8,60,True,0.24934684684684685
Morgan Kim,Banksburgh,48373,665,15630,37,45,False,0.32311413391768135
Jamie Gross,Davidtown,85296,700,38190,2,55,False,0.44773494653911083
Evan Lamb,Lake Ariana,54050,808,10217,21,85,True,0.1890286771507863
Cynthia Haas,Lake Nicole,66509,390,47462,40,35,False,0.713617705874393
Gabriela Smith,East Heather,90637,658,17820,6,60,True,0.19660844908812075
Amber Kim,Costachester,62742,804,25819,22,75,True,0.4115106308373976
Ashley Mendoza,East Shannon,144620,334,20327,1,40,False,0.1405545567694648
Trevor Jones,South Eugene,39880,376,36851,5,20,False,0.9240471414242728
William Barry,South Sherriburgh,88082,744,11295,3,75,True,0.12823278308848574
Daniel Lee,Donnaport,135909,543,7285,3,50,False,0.05360204254317227
Joshua Henry,West Adamland,142898,601,44386,40,65,True,0.3106131646349144
Christina Johnson,Lake Kelly,142193,383,32035,7,50,False,0.22529238429458553
James Burns,Christopherside,102132,696,13116,23,80,True,0.1284220420632123
